score,yds,french,uiaa,ewbank,saxon,norwegian,brazilian_crux,polish
0,5.0,1a,1,1,1,1-,I,I
1,5.0,1a,1,1,1,1-,I,I
2,5.0,1a+,1,1,1,1-,I,I
3,5.0,1a+,1,1,1,1-,I,I
4,5.0,1b,1,1,1,1,I,I
5,5.0,1b,1,2,1,1,I,I
6,5.0,1b+,1,2,1,1+,I,I
7,5.0,1b+,1,2,1,1+,I,I
8,5.0,1c,1,2,1,1+,Isup,I
9,5.0,1c,1,2,1,1+,Isup,I
10,5.0,1c+,1,3,1,2-,Isup,I
11,5,1c+,1,4,1,2-,Isup,I
12,5.1,2a,2,5,2,2,Isup,II
13,5.1,2a,2,5,2,2,Isup,II
14,5.1,2a+,2,5,2,2,II,II
15,5.1,2a+,2,6,2,2,II,II
16,5.1,2b,2,6,2,2+,II,II
17,5.1,2b,2,6,2,2+,II,II
18,5.2,2b+,2,7,2,2+,II,II
19,5.2,2b+,2,7,2,2+,II,II
20,5.2,2c,2,7,2,3-,II,II
21,5.2,2c,2,7,2,3-,II,II
22,5.3,2c+,2,8,2,3,IIsup,II
23,5.3,2c+,2,8,2,3,IIsup,II
24,5.3,3a,3,9,3,3,IIsup,III
25,5.3,3a,3,9,3,3,IIsup,III
26,5.4,3a+,3,10,3,3+,IIsup,III
27,5.4,3a+,3,10,3,3+,IIsup,III
28,5.4,3b,3,10,3,3+,III,III
29,5.4,3b,3,10,3,3+,III,III
30,5.4,3b+,3,10,3,4-,III,III
31,5.5,3b+,3,11,3,4-,III,III
32,5.5,3c,3,11,3,4,III,III
33,5.5,3c,3,12,3,4,III,III
34,5.5,3c+,3,12,3,4,III,III
35,5.5,3c+,3,12,3,4,III,III
36,5.6,4a,4,13,4,4+,IIIsup,IV
37,5.6,4a,4,13,4,4+,IIIsup,IV
38,5.6,4a+,4+,13,4,4+,IIIsup,IV
39,5.6,4a+,4+,13,4,4+,IIIsup,IV
40,5.6,4b,4+,13,5,5-,IIIsup,IV
41,5.7,4b,4+,14,5,5-,IIIsup,IV
42,5.7,4b+,5-,14,5,5-,IV,IV
43,5.7,4b+,5-,14,5,5-,IV,IV
44,5.7,4c,5-,15,5,5,IV,IV+
45,5.7,4c,5-,15,5,5,IV,IV+
46,5.8,4c+,5,16,6,5,IV,IV+
47,5.8,4c+,5,16,6,5,IV,IV+
48,5.8,5a,5,16,7a,5+,IVsup,V-
49,5.8,5a,5,16,7a,5+,IVsup,V-
50,5.8,5a+,5+,16,7a,5+,IVsup,V-
51,5.8,5a+,5+,16,7a,5+,IVsup,V-
52,5.9,5b,5+,17,7a,5+,IVsup,V
53,5.9,5b,5+,17,7a,5+,IVsup,V
54,5.9,5b+,6-,17,7b,5+,IVsup,V
55,5.9,5b+,6-,17,7b,5+,IVsup,V
56,5.9,5c,6,17,7b,6-,V,V+
57,5.10a,5c,6,18,7b,6-,V,V+
58,5.10a,5c+,6+,18,7c,6-,V,VI-
59,5.10a,5c+,6+,18,7c,6-,V,VI-
60,5.10a,6a,6+,18,7c,6-,V,VI
61,5.10a,6a,6+,18,7c,6-,V,VI
62,5.10b,6a+,7-,19,8a,6,Vsup,VI+
63,5.10b,6a+,7-,19,8a,6,Vsup,VI+
64,5.10c,6b,7,20,8b,6,VI,VI.1
65,5.10c,6b,7,20,8b,6,VI,VI.1
66,5.10d,6b+,7+,20,8c,6+,VIsup,VI.1+
67,5.11a,6b+,7+,21,8c,6+,VIsup,VI.1+
68,5.11a,6c,7+/8-,21,9a,7-,VIIa,VI.2
69,5.11b,6c,7+/8-,22,9a,7-,VIIa,VI.2
70,5.11b,6c+,8-,22,9a,7,VIIb,VI.2+
71,5.11c,6c+,8-,23,9a,7,VIIb,VI.2+
72,5.11c,7a,8,23,9b,7+,VIIc,VI.3
73,5.11d,7a,8,23,9b,7+,VIIc,VI.3
74,5.11d,7a+,8+,24,9c,8-,VIIIa,VI.3+
75,5.12a,7a+,8+,24,9c,8-,VIIIa,VI.3+
76,5.12b,7b,8+/9-,25,10a,8-,VIIIb,VI.4
77,5.12b,7b,8+/9-,25,10a,8-,VIIIb,VI.4
78,5.12c,7b+,9-,26,10a,8,VIIIc,VI.4
79,5.12c,7b+,9-,26,10a,8,VIIIc,VI.4
80,5.12d,7c,9,27,10b,8+,IXa,VI.4+
81,5.12d,7c,9,27,10b,8+,IXa,VI.4+
82,5.13a,7c+,9+,28,10c,8+,IXb,VI.5
83,5.13a,7c+,9+,28,10c,8+,IXb,VI.5
84,5.13b,8a,10-,29,10c,9-,IXc,VI.5+
85,5.13b,8a,10-,29,10c,9-,IXc,VI.5+
86,5.13c,8a+,10,30,11b,9-,Xa,VI.5+
87,5.13c,8a+,10,30,11b,9-,Xa,VI.5+
88,5.13d,8b,10+,31,11c,9,Xb,VI.6
89,5.13d,8b,10+,31,11c,9,Xb,VI.6
90,5.14a,8b+,10+/11-,32,11c,9+,Xc,VI.6+
91,5.14a,8b+,10+/11-,32,11c,9+,Xc,VI.6+
92,5.14b,8c,11-,33,12a,9+,XIa,VI.7
93,5.14b,8c,11-,33,12a,9+,XIa,VI.7
94,5.14c,8c+,11,34,12b,10-,XIb,VI.7+
95,5.14c,8c+,11,34,12b,10-,XIb,VI.7+
96,5.14d,9a,11,35,12c,10,XIc,VI.8
97,5.14d,9a,11,35,12c,10,XIc,VI.8
98,5.15a,9a+,11/11+,36,13a,10+,XIIa,VI.8
99,5.15a,9a+,11/11+,36,13a,10+,XIIa,VI.8+
100,5.15b,9b,11+,37,13b,10+,XIIb,VI.8+
101,5.15b,9b,11+,37,13b,10+,XIIb,VI.9
102,5.15c,9b+,11+/12-,38,13b,11-,XIIc,VI.9
103,5.15c,9b+,11+/12-,38,13b,11-,XIIc,VI.9+
104,5.15d,9c,12-,39,13c,11,XIIIa,VI.9+
105,5.15d,9c,12-,39,13c,11,XIIIb,VI.9+
106,5.16a,9c+,12,40,13c,11+,XIIIc,VI.9+
107,5.16a,9c+,12,40,13c,11+,XIVa,VI.9+
